month,window_n,rmse,bias_pct,coverage,drift_share,t1_drift,t2_performance,t3_bias,t4_interval,retrain
2010-01,10,16179.53896229139,2.1789786285600568,0.8,,False,False,False,False,False
2010-02,25,15483.669324873112,-0.4105486477164642,0.8,,False,False,False,False,False
2010-03,46,31956.977363205187,-4.036340152356081,0.717391304347826,0.7619047619047619,True,True,False,False,True
2010-04,75,27507.289259231624,-5.2070364566247616,0.6933333333333334,0.6666666666666666,True,False,True,False,True
2010-05,108,25912.982284830767,-6.529821648876548,0.7407407407407407,0.47619047619047616,True,False,True,False,True
2010-06,123,25427.442281651274,-7.3604545949258835,0.7317073170731707,0.38095238095238093,True,False,True,False,True
2010-07,90,27675.57930534384,-7.853221721329656,0.7555555555555555,0.5714285714285714,True,False,True,False,True
